gene_symbol,protein_name,database_source,evidence_type,direct_binding_or_activity,expression_response,species,cell_or_tissue,dose,exposure_time,direction,PMID/DOI/database_id,evidence_note,evidence_grade,evidence_grades_seen,evidence_partition,independent_source_count,independent_source_families,evidence_item_count,has_prediction_evidence,independent_support_ge_2,canonical_symbol_rule
PEX11A,peroxisomal biogenesis factor 11 alpha,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:31546122,"CTD raw direct-DINP filter; raw_gene_symbol=PEX11A; species=Mus musculus (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of PEX11A mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
PFKM,"phosphofructokinase, muscle",CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:33391822,"CTD raw direct-DINP filter; raw_gene_symbol=PFKM; species=Mus musculus (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of PFKM mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
PGAM2,phosphoglycerate mutase 2,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:33391822,"CTD raw direct-DINP filter; raw_gene_symbol=PGAM2; species=Mus musculus (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of PGAM2 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
PGR,progesterone receptor,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,downregulated | upregulated,Rattus norvegicus (n=1); Sparus aurata (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,mixed,CTD:C012125; PMID:16183386; PMID:30600365,"CTD raw direct-DINP filter; raw_gene_symbol=PGR; species=Rattus norvegicus (n=1); Sparus aurata (n=1); actions=decreases^expression (n=1); increases^expression (n=1); representative_interactions=diisononyl phthalate results in decreased expression of PGR mRNA || diisononyl phthalate results in increased expression of PGR mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
PID1,phosphotyrosine interaction domain containing 1,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,downregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,down,CTD:C012125; PMID:31546122,"CTD raw direct-DINP filter; raw_gene_symbol=PID1; species=Mus musculus (n=1); actions=decreases^expression (n=1); representative_interactions=diisononyl phthalate results in decreased expression of PID1 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
PLAC8,placenta associated 8,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:31546122,"CTD raw direct-DINP filter; raw_gene_symbol=PLAC8; species=Mus musculus (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of PLAC8 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
PLIN1,perilipin 1,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:31546122,"CTD raw direct-DINP filter; raw_gene_symbol=PLIN1; species=Mus musculus (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of PLIN1 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
PLIN4,perilipin 4,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:31546122,"CTD raw direct-DINP filter; raw_gene_symbol=PLIN4; species=Mus musculus (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of PLIN4 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
PPM1K,"protein phosphatase, Mg2+/Mn2+ dependent 1K",GEO GSE40342,Public toxicogenomics microarray expression response (re-analysis of GEO series matrix),No; transcriptomic response only,DEG in rat hepatocyte matrix; log2FC=1.046,Rattus norvegicus,Primary rat hepatocytes,25 mM DINP,48 h,up,GSE40342; PMID:25475144; GPL1355; probe:1388778_at,"Welch two-sided test across 5 replicates, Benjamini–Hochberg q=0.00213; candidate threshold q<0.05 and |log2FC|≥1.0. Matrix values were log2-transformed before testing. The analysis retains only rat symbols with an exact/unique human NCBI Gene_info symbol match; no complex orthology inference was performed. This is a re-analysis, not the original GEO author DE list.",B,B,experimental_or_curated,1,GEO,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
PSME3,proteasome activator subunit 3,GEO GSE40342,Public toxicogenomics microarray expression response (re-analysis of GEO series matrix),No; transcriptomic response only,DEG in rat hepatocyte matrix; log2FC=1.443,Rattus norvegicus,Primary rat hepatocytes,25 mM DINP,48 h,up,GSE40342; PMID:25475144; GPL1355; probe:1370725_a_at,"Welch two-sided test across 5 replicates, Benjamini–Hochberg q=0.00122; candidate threshold q<0.05 and |log2FC|≥1.0. Matrix values were log2-transformed before testing. The analysis retains only rat symbols with an exact/unique human NCBI Gene_info symbol match; no complex orthology inference was performed. This is a re-analysis, not the original GEO author DE list.",B,B,experimental_or_curated,1,GEO,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
RAB5A,"RAB5A, member RAS oncogene family",CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,downregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,down,CTD:C012125; PMID:37810885,"CTD raw direct-DINP filter; raw_gene_symbol=RAB5A; species=Mus musculus (n=1); actions=decreases^expression (n=1); representative_interactions=diisononyl phthalate results in decreased expression of RAB5A mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
RARRES2,retinoic acid receptor responder 2,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:31546122,"CTD raw direct-DINP filter; raw_gene_symbol=RARRES2; species=Mus musculus (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of RARRES2 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
RBFOX1,RNA binding fox-1 homolog 1,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:33391822,"CTD raw direct-DINP filter; raw_gene_symbol=RBFOX1; species=Mus musculus (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of RBFOX1 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
RDH16,retinol dehydrogenase 16,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,downregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,down,CTD:C012125; PMID:33391822,"CTD raw direct-DINP filter; raw_gene_symbol=RDH16; species=Mus musculus (n=1); actions=decreases^expression (n=1); representative_interactions=diisononyl phthalate results in decreased expression of RDH16 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
RETSAT,retinol saturase,GEO GSE40342,Public toxicogenomics microarray expression response (re-analysis of GEO series matrix),No; transcriptomic response only,DEG in rat hepatocyte matrix; log2FC=1.064,Rattus norvegicus,Primary rat hepatocytes,100 mM DINP,48 h,up,GSE40342; PMID:25475144; GPL1355; probe:1370806_at,"Welch two-sided test across 5 replicates, Benjamini–Hochberg q=6.57e-05; candidate threshold q<0.05 and |log2FC|≥1.0. Matrix values were log2-transformed before testing. The analysis retains only rat symbols with an exact/unique human NCBI Gene_info symbol match; no complex orthology inference was performed. This is a re-analysis, not the original GEO author DE list.",B,B,experimental_or_curated,1,GEO,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
RGS2,regulator of G protein signaling 2,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:31546122,"CTD raw direct-DINP filter; raw_gene_symbol=RGS2; species=Mus musculus (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of RGS2 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
RN7SK,RNA component of 7SK nuclear ribonucleoprotein,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:33391822,"CTD raw direct-DINP filter; raw_gene_symbol=RN7SK; species=Mus musculus (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of RN7SK mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
RTN2,reticulon 2,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:33391822,"CTD raw direct-DINP filter; raw_gene_symbol=RTN2; species=Mus musculus (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of RTN2 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
RXRG,retinoid X receptor gamma,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:31546122,"CTD raw direct-DINP filter; raw_gene_symbol=RXRG; species=Mus musculus (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of RXRG mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
RYR1,ryanodine receptor 1,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:33391822,"CTD raw direct-DINP filter; raw_gene_symbol=RYR1; species=Mus musculus (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of RYR1 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
SAA1,serum amyloid A1,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:33391822,"CTD raw direct-DINP filter; raw_gene_symbol=SAA1; species=Mus musculus (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of SAA1 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
SAA2,serum amyloid A2,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:33391822,"CTD raw direct-DINP filter; raw_gene_symbol=SAA2; species=Mus musculus (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of SAA2 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
SCARB1,scavenger receptor class B member 1,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,downregulated,Rattus norvegicus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,down,CTD:C012125; PMID:22112501; PMID:33983380,"CTD raw direct-DINP filter; raw_gene_symbol=SCARB1; species=Rattus norvegicus (n=1); actions=decreases^expression (n=1); representative_interactions=diisononyl phthalate results in decreased expression of SCARB1 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
SCD,stearoyl-CoA desaturase,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,expression affected | upregulated,Mus musculus (n=2),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:31546122; PMID:31577137,"CTD raw direct-DINP filter; raw_gene_symbol=SCD1; species=Mus musculus (n=2); actions=affects^expression (n=1); increases^expression (n=1); representative_interactions=diisononyl phthalate affects the expression of SCD1 mRNA || diisononyl phthalate results in increased expression of SCD1 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
SCP2,sterol carrier protein 2,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:31546122,"CTD raw direct-DINP filter; raw_gene_symbol=SCP2; species=Mus musculus (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of SCP2 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
SESN1,sestrin 1,GEO GSE40342,Public toxicogenomics microarray expression response (re-analysis of GEO series matrix),No; transcriptomic response only,DEG in rat hepatocyte matrix; log2FC=-1.310,Rattus norvegicus,Primary rat hepatocytes,25 mM DINP,24 h,down,GSE40342; PMID:25475144; GPL1355; probe:1372248_at,"Welch two-sided test across 5 replicates, Benjamini–Hochberg q=0.000191; candidate threshold q<0.05 and |log2FC|≥1.0. Matrix values were log2-transformed before testing. The analysis retains only rat symbols with an exact/unique human NCBI Gene_info symbol match; no complex orthology inference was performed. This is a re-analysis, not the original GEO author DE list.",B,B,experimental_or_curated,1,GEO,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
SLC2A1,solute carrier family 2 member 1,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,downregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,down,CTD:C012125; PMID:37482143,"CTD raw direct-DINP filter; raw_gene_symbol=SLC2A1; species=Mus musculus (n=1); actions=decreases^expression (n=1); representative_interactions=diisononyl phthalate results in decreased expression of SLC2A1 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
SLC2A3,solute carrier family 2 member 3,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,downregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,down,CTD:C012125; PMID:37482143,"CTD raw direct-DINP filter; raw_gene_symbol=SLC2A3; species=Mus musculus (n=1); actions=decreases^expression (n=1); representative_interactions=diisononyl phthalate results in decreased expression of SLC2A3 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
SLC2A4,solute carrier family 2 member 4,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:31546122; PMID:33391822,"CTD raw direct-DINP filter; raw_gene_symbol=SLC2A4; species=Mus musculus (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of SLC2A4 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
SLC30A2,solute carrier family 30 member 2,GEO GSE40342,Public toxicogenomics microarray expression response (re-analysis of GEO series matrix),No; transcriptomic response only,DEG in rat hepatocyte matrix; log2FC=2.483,Rattus norvegicus,Primary rat hepatocytes,100 mM DINP,48 h,up,GSE40342; PMID:25475144; GPL1355; probe:1378896_at,"Welch two-sided test across 5 replicates, Benjamini–Hochberg q=0.00226; candidate threshold q<0.05 and |log2FC|≥1.0. Matrix values were log2-transformed before testing. The analysis retains only rat symbols with an exact/unique human NCBI Gene_info symbol match; no complex orthology inference was performed. This is a re-analysis, not the original GEO author DE list.",B,B,experimental_or_curated,1,GEO,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
SLC6A1,solute carrier family 6 member 1,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,downregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,down,CTD:C012125; PMID:37482143,"CTD raw direct-DINP filter; raw_gene_symbol=SLC6A1; species=Mus musculus (n=1); actions=decreases^expression (n=1); representative_interactions=diisononyl phthalate results in decreased expression of SLC6A1 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
SLC6A13,solute carrier family 6 member 13,GEO GSE40342,Public toxicogenomics microarray expression response (re-analysis of GEO series matrix),No; transcriptomic response only,DEG in rat hepatocyte matrix; log2FC=1.745,Rattus norvegicus,Primary rat hepatocytes,25 mM DINP,48 h,up,GSE40342; PMID:25475144; GPL1355; probe:1387372_at,"Welch two-sided test across 5 replicates, Benjamini–Hochberg q=7.07e-05; candidate threshold q<0.05 and |log2FC|≥1.0. Matrix values were log2-transformed before testing. The analysis retains only rat symbols with an exact/unique human NCBI Gene_info symbol match; no complex orthology inference was performed. This is a re-analysis, not the original GEO author DE list.",B,B,experimental_or_curated,1,GEO,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
SLC6A4,solute carrier family 6 member 4,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,downregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,down,CTD:C012125; PMID:37482143,"CTD raw direct-DINP filter; raw_gene_symbol=SLC6A4; species=Mus musculus (n=1); actions=decreases^expression (n=1); representative_interactions=diisononyl phthalate results in decreased expression of SLC6A4 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
SORBS1,sorbin and SH3 domain containing 1,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:31546122,"CTD raw direct-DINP filter; raw_gene_symbol=SORBS1; species=Mus musculus (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of SORBS1 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
SPC24,SPC24 component of NDC80 kinetochore complex,GEO GSE40342,Public toxicogenomics microarray expression response (re-analysis of GEO series matrix),No; transcriptomic response only,DEG in rat hepatocyte matrix; log2FC=2.005,Rattus norvegicus,Primary rat hepatocytes,25 mM DINP,24 h,up,GSE40342; PMID:25475144; GPL1355; probe:1373026_at,"Welch two-sided test across 5 replicates, Benjamini–Hochberg q=0.000236; candidate threshold q<0.05 and |log2FC|≥1.0. Matrix values were log2-transformed before testing. The analysis retains only rat symbols with an exact/unique human NCBI Gene_info symbol match; no complex orthology inference was performed. This is a re-analysis, not the original GEO author DE list.",B,B,experimental_or_curated,1,GEO,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
SQSTM1,sequestosome 1,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,downregulated,Homo sapiens (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,down,CTD:C012125; PMID:37976928,"CTD raw direct-DINP filter; raw_gene_symbol=SQSTM1; species=Homo sapiens (n=1); actions=decreases^expression (n=1); representative_interactions=diisononyl phthalate results in decreased expression of SQSTM1 protein. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
SREBF1,sterol regulatory element binding transcription factor 1,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,downregulated,Sparus aurata (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,down,CTD:C012125; PMID:29933238,"CTD raw direct-DINP filter; raw_gene_symbol=SREBF1; species=Sparus aurata (n=1); actions=decreases^expression (n=1); representative_interactions=diisononyl phthalate results in decreased expression of SREBF1 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
SRL,sarcalumenin,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,upregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,up,CTD:C012125; PMID:33391822,"CTD raw direct-DINP filter; raw_gene_symbol=SRL; species=Mus musculus (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of SRL mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
SRRM1,serine and arginine repetitive matrix 1,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,downregulated,Mus musculus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,down,CTD:C012125; PMID:37810885,"CTD raw direct-DINP filter; raw_gene_symbol=SRRM1; species=Mus musculus (n=1); actions=decreases^expression (n=1); representative_interactions=diisononyl phthalate results in decreased expression of SRRM1 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
STAR,steroidogenic acute regulatory protein,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),,downregulated,Rattus norvegicus (n=1),Not specified in CTD record; see cited PMID(s),NR in CTD record,NR in CTD record,down,CTD:C012125; PMID:21633115; PMID:22112501; PMID:25445723; PMID:33983380,"CTD raw direct-DINP filter; raw_gene_symbol=STAR; species=Rattus norvegicus (n=1); actions=decreases^expression (n=1); representative_interactions=diisononyl phthalate results in decreased expression of STAR mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info. Audit flag: cited publication includes multiple chemicals or a co-treatment context; do not interpret as a DINP-only mechanistic experiment without reading the primary paper.",B,B,experimental_or_curated,1,CTD,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
